"FROTA";"ANO";"MES";"LAT";"LON";"EFF";"LAGE";"BRANCA";"BANDOLIM"
"BRA";2000;5;0;25;10700;422,62;558,22;675,74
"BRA";2000;5;0;30;14700;969,54;300,58;1299,5
"BRA";2000;5;0;35;20880;1690,48;236,17;519,8
"BRA";2000;5;5;30;11600;447,48;64,41;493,81
"BRA";2000;6;0;30;5250;223,74;42,94;0
"BRA";2000;6;0;35;14650;223,74;0;25,99
"BRA";2000;6;5;30;12030;845,24;42,94;415,84
"BRA";2000;6;10;25;5480;74,58;300,58;77,97
"BRA";2000;6;25;45;4000;16,95;203,4;0
"BRA";2000;6;30;45;5100;129,95;531,1;33,9
"BRA";2000;7;0;30;15900;931,12;42,94;1092,71
"BRA";2000;7;0;35;21550;223,74;0;0
"BRA";2000;7;5;25;1100;24,86;0;0
"BRA";2000;7;5;30;26300;1038,47;1187,63;1770,71
"BRA";2000;7;10;30;13400;546,92;987,62;493,81
"BRA";2000;7;25;45;28000;4796,85;3802,45;442,96
"BRA";2000;7;30;45;13350;4723,4;2113,1;169,5
"BRA";2000;7;30;50;10000;870,1;2615,95;519,8
"BRA";2000;8;0;30;14400;720,94;21,47;1091,58
"BRA";2000;8;0;35;17200;124,3;0;0
"BRA";2000;8;0;40;8000;198,88;0;129,95
"BRA";2000;8;5;30;37270;757,1;1748,11;1498,38
"BRA";2000;8;5;35;1900;0;21,47;155,94
"BRA";2000;8;10;35;2700;0;141,25;0
"BRA";2000;8;25;35;6000;226;158,2;0
"BRA";2000;8;25;40;2000;56,5;11,3;0
"BRA";2000;8;25;45;7000;163,85;193,23;0
"BRA";2000;8;30;40;3100;316,4;33,9;0
"BRA";2000;8;30;45;23900;581,95;84,75;0
"BRA";2000;8;30;50;4000;768,4;118,65;0
"BRA";2000;9;0;30;5950;230,52;0;175,15
"BRA";2000;9;0;35;20800;1588,78;21,47;33,9
"BRA";2000;9;5;30;10600;253,12;375,16;765,01
"BRA";2000;9;15;40;1100;0;0;0
"BRA";2000;9;25;40;2000;0;0;0
"BRA";2000;9;25;45;7100;209,05;33,9;0
"BRA";2000;9;30;45;7200;1627,2;135,6;67,8
"BRA";2000;9;30;50;11800;4497,4;293,8;33,9
"BRA";2000;10;0;30;9850;1939,08;386,46;1403,46
"BRA";2000;10;0;35;13000;836,2;0;0
"BRA";2000;10;5;30;27200;795,52;791;1779,75
"BRA";2000;10;10;30;13200;56,5;169,5;1921
"BRA";2000;10;10;35;3600;0;0;1921
"BRA";2000;10;15;35;3600;0;0;282,5
"BRA";2000;10;25;40;2000;56,5;0;0
"BRA";2000;10;25;45;10000;175,15;45,2;0
"BRA";2000;10;30;45;9000;310,75;118,65;0
"BRA";2000;10;30;50;14000;7887,4;1017;1553,75
"BRA";2000;11;0;30;44887;6255,68;792,13;5049,97
"BRA";2000;11;0;35;19350;4746;0;0
"BRA";2000;11;5;25;2400;0;271,2;73,45
"BRA";2000;11;5;30;13200;565;1808;2457,75
"BRA";2000;11;10;30;6000;0;1293,85;977,45
"BRA";2000;11;25;40;4000;0;45,2;0
"BRA";2000;11;25;45;4000;84,75;22,6;0
"BRA";2000;11;30;40;1000;90,4;0;0
"BRA";2000;11;30;45;24100;751,45;292,67;96,05
"BRA";2000;11;30;50;5000;378,55;135,6;16,95
"BRA";2000;12;0;30;42050;4592,32;7297,54;1987,67
"BRA";2000;12;0;35;7200;1914,22;0;0
"BRA";2000;12;5;30;21168;1837,38;2904,1;2499,56
"BRA";2000;12;10;25;9600;101,7;1276,9;361,6
"BRA";2000;12;30;45;11000;412,45;113;254,25
"BRA";2000;12;30;50;8000;259,9;67,8;0
"BRA";2001;1;0;25;7900;2013,999;98,0275;1213,846
"BRA";2001;1;0;30;71750;13528,1566;1882,8625;12919,064
"BRA";2001;1;0;35;34350;3972,515;39,211;592,12
"BRA";2001;1;15;20;3600;56,5;389,85;67,8
"BRA";2001;1;15;25;1200;0;90,4;0
"BRA";2001;2;0;20;1190;309,846;19,6055;266,454
"BRA";2001;2;0;25;26810;2663,184;236,622;9407,702
"BRA";2001;2;0;30;115210;14065,901;2372,2655;21794,084
"BRA";2001;2;0;35;8050;278,8614;137,2385;236,848
"BRA";2001;2;10;30;1200;309,846;39,211;177,636
"BRA";2001;3;0;20;2300;76,1846;36,5555;67,8
"BRA";2001;3;0;25;16380;938,6458;381,488;1446,174
"BRA";2001;3;0;30;105216;15394,894;3110,7205;15699,316
"BRA";2001;3;0;35;18800;1826,2608;134,583;714,838
"BRA";2001;4;0;20;1150;0;39,55;0
"BRA";2001;4;0;25;37520;2695,6602;254,8715;3049,418
"BRA";2001;4;0;30;84580;11957,8634;2643,5785;6082,338
"BRA";2001;4;0;35;7400;526,7382;117,633;769,756
"BRA";2001;4;5;30;2200;180,8;0;0
"BRA";2001;4;10;25;1200;0;0;0
"BRA";2001;5;0;25;2300;0;37,29;0
"BRA";2001;5;0;30;33900;3372,5754;1409,9575;1496,12
"BRA";2001;5;0;35;4600;526,7382;58,8165;118,424
"BRA";2001;5;5;30;2200;0;0;50,85
"BRA";2001;5;15;30;1200;30,9846;39,211;266,454
"BRA";2001;6;0;25;2600;0;19,6055;296,06
"BRA";2001;6;0;30;19700;1115,4456;333,2935;2398,086
"BRA";2001;6;10;30;1000;123,9384;0;0
"BRA";2001;6;15;25;1240;0;0;0
"BRA";2001;7;0;30;18800;2602,7064;196,055;3227,054
"BRA";2001;7;15;25;1280;0;0;0
"BRA";2001;9;5;25;8960;350,3;197,75;694,95
"BRA";2001;10;0;25;4300;61,9692;155,2055;1103,332
"BRA";2001;10;0;30;800;0;0;0
"BRA";2001;10;0;35;8000;0;0;947,392
"BRA";2001;10;5;25;19550;214,7;870,1;3260,05
"BRA";2001;10;15;45;1150;0;135,6;113
"BRA";2001;11;0;25;7000;92,9538;137,2385;1598,724
"BRA";2001;11;0;30;800;123,9384;0;0
"BRA";2001;11;0;35;9600;10379,841;0;1598,724
"BRA";2001;11;5;25;9200;0;966,15;1869,02
"BRA";2001;11;10;25;8054;0;1542,45;1011,35
"BRA";2001;12;0;35;18600;5825,1048;0;236,848
"BRA";2001;12;5;30;2850;509,63;1817,04;113
"BRA";2001;12;10;25;3452;0;406,8;180,8
"BRA";2001;12;15;20;4608;0;254,25;152,55
"BRA";2001;12;15;25;9150;0;644,1;96,05
"BRA";2002;1;0;30;19360;1789,92;0;1454,31
"BRA";2002;1;0;35;34150;2108,58;0;265,55
"BRA";2002;1;0;40;4000;0;0;76,84
"BRA";2002;1;15;25;11150;0;1271,25;197,75
"BRA";2002;1;20;25;2230;0;176,28;39,55
"BRA";2002;1;30;25;1400;50;0;0
"BRA";2002;1;30;30;81050;1101,05;397,45;0
"BRA";2002;1;30;35;12450;372,9;0;0
"BRA";2002;1;30;45;7280;342;34;0
"BRA";2002;1;35;30;1280;0;0;0
"BRA";2002;1;35;45;3000;158,2;11,3;0
"BRA";2002;2;0;25;7800;2131,18;188,71;1098,36
"BRA";2002;2;0;30;13100;6543,83;73,45;1654,32
"BRA";2002;2;0;35;3100;624,89;28,25;149,16
"BRA";2002;2;5;30;1300;207,92;22,6;40,68
"BRA";2002;2;15;25;20070;0;1593,3;836,2
"BRA";2002;2;20;25;5575;0;186,45;180,8
"BRA";2002;2;25;30;9900;124,3;16,95;0
"BRA";2002;2;30;25;25590;321,872973;471,5590909;0
